Email,Clinic Name,City,First Name,Phone,Website,Category,Status
careers@mya.co.uk,"MYA Clinical Hub Manchester",Alderley Edge,Clinical,+44 333 014 1014,https://www.mya.co.uk/clinical-hubs-hospitals/manchester,Plastic surgery clinic,pending
pa@gormanplasticsurgery.com,"Gorman Plastic Surgery | Manchester",Altrincham,Gorman,+44 161 399 0799,https://www.gormanplasticsurgery.com/,Plastic surgeon,pending
mark@tm-media.co.uk,"Dr Ed Robinson Aesthetics",Altrincham,Ed,+44 161 399 0631,https://www.dredrobinson.co.uk/,Skin care clinic,pending
clinic@slsmedicalaesthetics.co.uk,"SLS Medical Aesthetics",Ayr,Aesthetics,+44 7534 344882,https://slsmedicalaesthetics.co.uk/,Beautician,pending
bath.ent@nhs.net,"Bath ENT Specialists LLP",Bath,Bath,+44 1761 422262,http://www.bathent.co.uk/,Consultant,pending
pat@sisuclinic.com,"Sisu Clinic - Belfast | Doctor-led, Aesthetic Medicine & Treatments",Belfast,Sisu,+44 28 9575 7974,http://www.sisuclinic.com/,Medical spa,pending
marketing@theprivateclinic.co.uk,"The Private Clinic Birmingham, Liposuction, Varicose Vein, Breast surgery",Birmingham,Private,+44 121 314 8866,https://www.theprivateclinic.co.uk/our-clinics/birmingham/,Plastic surgery clinic,pending
carly@hiroshinishikawa.co.uk,"Hiroshi Nishikawa",Birmingham,Hiroshi,+44 121 456 8149,http://www.hiroshinishikawa.co.uk/,Plastic surgeon,pending
michal@zclinic.uk,"Aesthetic Ace Clinic",Birmingham,Ace,+44 7380 282512,http://www.aestheticace.com/,Medical spa,pending
ru@arubiaaesthetics.co.uk,"Arubia Aesthetics & Skin Clinic",Bridge of Weir,Arubia,+44 7703 483020,http://www.arubiaaesthetics.co.uk/,Medical spa,pending
pr@drdandhunna.com,"Dr Dan Dhunna Cosmetic Doctor",Bridgnorth,Dan,+44 20 8168 0268,http://www.drdandhunna.com/,Plastic surgeon,pending
careers@laserclinics.ca,"Laser Clinics UK - Bristol",Bristol,Laser,+44 117 325 2830,https://www.laserclinics.co.uk/skin-care-clinics/bristol/?utm_content=Laser+Clinics+UK+-+Bristol+-+Bristol%2C+England&utm_campaign=Google+My+Business&utm_medium=organic&utm_source=google&utm_term=plcid_15446047912235895011,Laser hair removal service,pending
secretary@sherifwilson.com,"Mr Sherif Wilson MB, ChB, MS, FRCS (Plast)",Bristol,Mr,+44 117 980 4092,https://www.sherifwilsonplasticsurgeon.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmbbristol,Plastic surgeon,pending
bristolhosphelpline@spirehealthcare.com,"Spire Bristol Hospital",Bristol,Spire,+44 117 980 4000,https://www.spirehealthcare.com/spire-bristol-hospital/?utm_source=google&utm_medium=organic&utm_campaign=Hospital_GMB,Private hospital,pending
redemptions@skinspaceuk.com,"SKINSPACEUK Bristol",Bristol,Bristol,+44 117 427 0564,https://www.skinspaceuk.com/,Laser hair removal service,pending
hrservices@uhbw.nhs.uk,"Bristol Eye Hospital",Bristol,Bristol,+44 117 342 6888,http://www.uhbristol.nhs.uk/patients-and-visitors/your-hospitals/bristol-eye-hospital/,Eye care center,pending
kamila@dermaclinicbristol.co.uk,"DermaClinic",Bristol,there,+44 7427 650357,https://www.dermaclinicbristol.co.uk/,Skin care clinic,pending
julie@jbcosmetic.co.uk,"JBCosmetic",Bristol,there,+44 7866 515664,https://jbcosmetic.co.uk/,Skin care clinic,pending
